start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country
12.111.68.192,12.111.68.207,12.111.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.20.170.100,12.20.170.103,12.20.0.0,TRENCH SHORING,trenchshoring.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.106.145.35,124.106.145.35,124.106.0.0,SMESYA2020100894536_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.187.14.184,12.187.14.191,12.187.0.0,ACKERMAN CANCER CENTER,ackermancancercenter.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
102.223.196.32,102.223.196.39,102.223.0.0,CUST-CLOUDPOD-INFRA,cloudpod.co.za,hosting,AS328608,Africa on Cloud,africaoncloud.net,hosting,ZA
124.105.33.82,124.105.33.82,124.105.0.0,2-5671614_F2 FIL KOR INC,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
104.177.166.88,104.177.166.103,104.177.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
107.136.14.24,107.136.14.39,107.136.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
107.155.91.252,107.155.91.254,107.155.0.0,"HIVELOCITY, Inc.",hivelocity.net,hosting,AS29802,"HIVELOCITY, Inc.",hivelocity.net,hosting,US
12.10.195.80,12.10.195.87,12.10.0.0,BRECK OPERATING CORP,breckop.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.218.246.112,122.218.246.119,122.218.0.0,"SORA CO.,LTD",sorinc.com,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
116.236.160.16,116.236.160.19,116.236.0.0,"Shanghai Kaixindao Computer Sale Co.,Ltd.",chinatelecom.cn,isp,AS4812,China Telecom (Group),chinatelecom.com.cn,isp,CN
12.215.64.208,12.215.64.215,12.215.0.0,BLUE BEACON INTERNATIONAL,bluebeacon.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
119.93.99.189,119.93.99.189,119.93.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
114.251.176.16,114.251.176.31,114.251.0.0,BJYPYH,263.net,business,AS4808,China Unicom Beijing Province Network,chinaunicom.cn,isp,CN
124.105.127.45,124.105.127.45,124.105.0.0,2-9213115_JED DOT NET CAFÉ,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
115.239.180.116,115.239.180.119,115.239.0.0,CHINANET-ZJ Shaoxing node network,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
12.209.144.80,12.209.144.87,12.209.0.0,CONSOLIDATED METAL,consolidatedmetalfab.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.3.185.14,122.3.185.14,122.3.0.0,2088695_OZAMIS CITY EMERGENCY HOSP,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.106.98.64,12.106.98.127,12.106.0.0,COBRA ELECTRONICS,cedarelectronics.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
108.76.75.208,108.76.75.215,108.76.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.105.93.11,124.105.93.11,124.105.0.0,72-6074191_T2BG INTERNET CAFE,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.54.105.93,122.54.105.93,122.54.0.0,SMEQPO2016091959092_NOYPI.COM.CO,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
109.3.131.253,109.3.131.253,109.3.0.0,MPLS network,sfr.fr,isp,AS15557,SFR SA,sfr.fr,isp,FR
