start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
105.129.228.28,105.129.228.28,105.129.0.0,Ifrane,Fès-Meknès,MA,33.52666,-5.11019,,Africa/Casablanca
105.106.231.80,105.106.231.107,105.106.0.0,Aïn Smara,Constantine,DZ,36.1842,6.579,25044,Africa/Algiers
101.21.33.220,101.21.33.221,101.21.0.0,Xiamen,Fujian,CN,24.47979,118.08187,,Asia/Shanghai
101.25.80.160,101.25.80.167,101.25.0.0,Qingdao,Shandong,CN,36.06488,120.38042,,Asia/Shanghai
1.120.158.234,1.120.158.255,1.120.0.0,Hobart,Tasmania,AU,-42.85095,147.3039,7008,Australia/Hobart
103.251.215.63,103.251.215.63,103.251.0.0,Ahmedabad,Gujarat,IN,23.02579,72.58727,380001,Asia/Kolkata
101.174.199.76,101.174.199.77,101.174.0.0,Tuncester,New South Wales,AU,-28.8,153.21667,2480,Australia/Sydney
101.108.17.104,101.108.17.115,101.108.0.0,Photharam,Ratchaburi,TH,13.69234,99.84969,70120,Asia/Bangkok
101.249.210.172,101.249.210.175,101.249.0.0,Bayi,Tibet,CN,29.65812,94.35892,,Asia/Shanghai
102.45.159.203,102.45.159.206,102.45.0.0,Giza,Giza,EG,30.00944,31.20861,,Africa/Cairo
101.249.32.110,101.249.32.110,101.249.0.0,Rikaze,Tibet,CN,29.25,88.88333,,Asia/Shanghai
104.247.130.131,104.247.130.131,104.247.0.0,Visalia,California,US,36.33023,-119.29206,93278,America/Los_Angeles
101.108.203.216,101.108.204.73,101.108.0.0,Nakhon Pathom,Nakhon Pathom,TH,13.8196,100.04427,73000,Asia/Bangkok
102.158.137.200,102.158.138.63,102.158.0.0,Tunis,Tūnis,TN,36.81897,10.16579,,Africa/Tunis
102.185.59.144,102.185.59.207,102.185.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
104.183.225.0,104.183.225.255,104.183.0.0,South Bend,Indiana,US,41.6674,-86.3153,46619,America/Indiana/Indianapolis
101.30.116.62,101.30.116.62,101.30.0.0,Qingdao,Shandong,CN,36.06488,120.38042,,Asia/Shanghai
101.184.78.64,101.184.78.87,101.184.0.0,Coffs Harbour,New South Wales,AU,-30.29626,153.11351,2450,Australia/Sydney
1.251.223.0,1.251.223.63,1.251.0.0,Gimcheon,Gyeongsangbuk-do,KR,36.0946,128.1096,39619,Asia/Seoul
101.20.169.44,101.20.169.52,101.20.0.0,Shenyang,Liaoning,CN,41.79222,123.43278,,Asia/Shanghai
104.168.37.130,104.168.37.131,104.168.0.0,New York City,New York,US,40.71427,-74.00597,10004,America/New_York
1.204.125.17,1.204.125.17,1.204.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
101.23.8.128,101.23.8.143,101.23.0.0,Tianjin,Tianjin,CN,39.14222,117.17667,,Asia/Shanghai
101.204.10.90,101.204.10.93,101.204.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
