start_ip,end_ip,join_key,size,domain
103.10.12.251,103.10.12.251,103.10.0.0,1,251-12-10-103-on-nets.com
109.188.28.1,109.188.28.254,109.188.0.0,254,yota.ru
106.75.115.141,106.75.115.141,106.75.0.0,1,vpprxmg.cn
109.133.155.115,109.133.155.116,109.133.0.0,2,belgacom.be
113.11.15.96,113.11.15.96,113.11.0.0,1,113-11-15-96-smile.com.bd
112.213.38.161,112.213.38.161,112.213.0.0,1,ajlogistics.com.au
103.1.150.117,103.1.150.117,103.1.0.0,1,waterlinkasia.com
108.102.176.206,108.102.177.34,108.102.0.0,85,spcsdns.net
108.179.210.81,108.179.210.81,108.179.0.0,1,exceldogtreats.com
111.189.48.156,111.189.48.156,111.189.0.0,1,bbtec.net
113.11.16.171,113.11.16.171,113.11.0.0,1,113-11-16-171-smile.com.bd
109.75.167.88,109.75.167.89,109.75.0.0,2,ct-dent.co.uk
107.155.71.106,107.155.71.106,107.155.0.0,1,107-155-71-106-customer-incero.com
107.36.17.49,107.36.17.160,107.36.0.0,112,spcsdns.net
109.159.233.79,109.159.233.79,109.159.0.0,1,bt.net
103.227.60.195,103.227.60.195,103.227.0.0,1,gradyhomes.com.au
103.246.249.68,103.246.249.68,103.246.0.0,1,lkonestop.club
107.155.252.62,107.155.252.62,107.155.0.0,1,ervilunitbusiness.com
104.232.94.25,104.232.94.25,104.232.0.0,1,104-232-94-25.in-addr.arpa
104.223.48.234,104.223.48.238,104.223.0.0,5,rucoten.co.uk
109.71.194.122,109.71.194.122,109.71.0.0,1,pleiades.vg
103.239.77.177,103.239.77.177,103.239.0.0,1,103.in-addr.arpa
1.114.47.14,1.114.47.15,1.114.0.0,2,bbtec.net
104.171.16.222,104.171.16.222,104.171.0.0,1,dotology.net
111.109.37.128,111.109.37.223,111.109.0.0,96,dion.ne.jp
110.77.150.203,110.77.150.203,110.77.0.0,1,denovoenergy.com
108.62.122.153,108.62.122.153,108.62.0.0,1,ptcfast.com
107.175.42.200,107.175.42.200,107.175.0.0,1,cardoptionsnow.com
110.142.130.167,110.142.130.167,110.142.0.0,1,telstra.net
109.117.149.234,109.117.149.234,109.117.0.0,1,vodafone.it
103.67.236.75,103.67.236.75,103.67.0.0,1,glovision.co
110.92.18.1,110.92.18.254,110.92.0.0,254,netspeed.net.nz
106.0.38.87,106.0.38.87,106.0.0.0,1,106-87.in-addr.arpa
103.58.116.100,103.58.116.100,103.58.0.0,1,jct.ac.in
104.237.135.17,104.237.135.17,104.237.0.0,1,emailconfirm.io
107.50.152.92,107.50.153.48,107.50.0.0,213,spcsdns.net
1.115.182.30,1.115.182.30,1.115.0.0,1,bbtec.net
111.190.128.45,111.190.128.46,111.190.0.0,2,bbtec.net
105.255.156.76,105.255.156.76,105.255.0.0,1,newsclip.co.za
108.227.41.137,108.227.41.137,108.227.0.0,1,breaultasphalt.com
101.1.46.214,101.1.46.214,101.1.0.0,1,kia.com
104.248.136.154,104.248.136.154,104.248.0.0,1,cloudwaysapps.com
109.237.27.95,109.237.27.96,109.237.0.0,2,linode.com
103.51.144.180,103.51.144.181,103.51.0.0,2,worra.com
108.61.30.176,108.61.30.176,108.61.0.0,1,choopa.net
104.37.115.123,104.37.115.123,104.37.0.0,1,104-37-115-123-wavedirect.net
109.254.1.196,109.254.1.196,109.254.0.0,1,dec.net.ua
104.216.8.45,104.216.8.46,104.216.0.0,2,psychz.net
104.57.59.91,104.57.59.254,104.57.0.0,164,sbcglobal.net
103.9.78.166,103.9.78.166,103.9.0.0,1,froids.es
109.122.99.42,109.122.99.42,109.122.0.0,1,sn.co.rs
109.129.89.177,109.129.89.214,109.129.0.0,38,belgacom.be
102.68.58.99,102.68.58.100,102.68.0.0,2,azuraconsulting.com
110.1.93.1,110.1.93.254,110.1.0.0,254,yournet.ne.jp
111.191.96.189,111.191.96.189,111.191.0.0,1,bbtec.net
107.62.242.33,107.62.242.76,107.62.0.0,44,spcsdns.net
108.127.37.25,108.127.37.45,108.127.0.0,21,spcsdns.net
104.245.38.37,104.245.38.37,104.245.0.0,1,200kmba.com
103.197.58.128,103.197.58.128,103.197.0.0,1,returnlegacy.com
109.111.190.47,109.111.190.47,109.111.0.0,1,siberia.net
107.182.220.1,107.182.220.254,107.182.0.0,254,directcom.com
111.190.5.50,111.190.5.51,111.190.0.0,2,bbtec.net
113.11.111.215,113.11.111.215,113.11.0.0,1,113-11-111-215-smile.com.bd
107.179.53.67,107.179.53.67,107.179.0.0,1,654043.cc
103.199.187.20,103.199.187.20,103.199.0.0,1,dedinetwork.com
101.187.126.211,101.187.126.211,101.187.0.0,1,telstra.net
109.238.6.116,109.238.6.116,109.238.0.0,1,example.com
107.6.165.192,107.6.165.199,107.6.0.0,8,studiosanpaolo.info
113.11.117.24,113.11.117.24,113.11.0.0,1,113-11-117-24-smile.com.bd
110.142.164.249,110.142.164.249,110.142.0.0,1,telstra.net
102.130.114.201,102.130.114.201,102.130.0.0,1,v-dns.net
109.117.141.125,109.117.141.125,109.117.0.0,1,vodafone.it
109.237.212.125,109.237.212.125,109.237.0.0,1,concatenate.nl
107.181.191.156,107.181.191.156,107.181.0.0,1,nc6roiroi.com
109.73.166.238,109.73.166.238,109.73.0.0,1,codelogicx.com
103.30.168.47,103.30.168.47,103.30.0.0,1,securebits.com.au
1.115.192.134,1.115.192.138,1.115.0.0,5,bbtec.net
109.123.222.155,109.123.222.155,109.123.0.0,1,intersite.cz
1.112.217.158,1.112.217.158,1.112.0.0,1,bbtec.net
109.72.6.226,109.72.6.226,109.72.0.0,1,kacha.eu
103.145.51.75,103.145.51.75,103.145.0.0,1,venavis.in
107.0.8.70,107.0.8.80,107.0.0.0,11,comcastbusiness.net
109.239.87.188,109.239.87.188,109.239.0.0,1,cypartners.co.uk
103.21.252.3,103.21.252.3,103.21.0.0,1,ryberg.com.my
103.165.49.11,103.165.49.11,103.165.0.0,1,bdcustoms.gov.bd
103.154.184.220,103.154.184.226,103.154.0.0,7,hostingraja.in
103.24.209.47,103.24.209.47,103.24.0.0,1,standrewsfg.qld.edu.au
103.246.146.217,103.246.146.232,103.246.0.0,16,had.wf
109.134.250.104,109.134.250.174,109.134.0.0,71,belgacom.be
1.113.59.77,1.113.59.78,1.113.0.0,2,bbtec.net
103.231.252.11,103.231.252.11,103.231.0.0,1,sosomedia.hk
107.21.248.72,107.21.248.101,107.21.0.0,30,amazonaws.com
1.114.195.202,1.114.195.210,1.114.0.0,9,bbtec.net
107.0.197.25,107.0.197.25,107.0.0.0,1,omegasystemscorp.com
107.191.118.248,107.191.118.249,107.191.0.0,2,ramnode.com
103.211.209.194,103.211.209.194,103.211.0.0,1,otw.net.au
109.18.47.70,109.18.47.72,109.18.0.0,3,sfr.net
107.174.227.8,107.174.227.8,107.174.0.0,1,slowredcars.com
104.131.118.172,104.131.118.172,104.131.0.0,1,control-pos.com
102.141.178.239,102.141.178.239,102.141.0.0,1,102-141-178-239.in-addr.arpa
106.177.163.1,106.177.163.254,106.177.0.0,254,dion.ne.jp
111.190.154.69,111.190.154.74,111.190.0.0,6,bbtec.net
113.11.101.7,113.11.101.7,113.11.0.0,1,113-11-101-7-smile.com.bd
108.35.22.1,108.35.22.1,108.35.0.0,1,verizon-gni.net
103.65.237.68,103.65.237.81,103.65.0.0,14,65.in-addr.arpa
109.254.13.148,109.254.13.148,109.254.0.0,1,dec.net.ua
109.104.85.82,109.104.85.82,109.104.0.0,1,webfusion.co.uk
109.164.218.185,109.164.218.193,109.164.0.0,9,swisscom.ch
1.113.65.233,1.113.65.236,1.113.0.0,4,bbtec.net
104.168.148.165,104.168.148.165,104.168.0.0,1,lifecost.co
103.5.4.72,103.5.4.72,103.5.0.0,1,hoi.com.ph
107.22.197.81,107.22.197.87,107.22.0.0,7,amazonaws.com
111.191.111.69,111.191.111.73,111.191.0.0,5,bbtec.net
102.141.180.252,102.141.180.252,102.141.0.0,1,102-141-180-252.in-addr.arpa
103.76.181.21,103.76.181.22,103.76.0.0,2,vpshispeed.net
104.131.108.77,104.131.108.77,104.131.0.0,1,inglesenxuto.com.br
103.246.111.182,103.246.111.182,103.246.0.0,1,worldcall.net.pk
102.141.189.111,102.141.189.111,102.141.0.0,1,102-141-189-111.in-addr.arpa
104.218.49.147,104.218.49.150,104.218.0.0,4,trouble-free.net
109.254.23.84,109.254.23.84,109.254.0.0,1,dec.net.ua
109.250.115.1,109.250.115.254,109.250.0.0,254,versanet.de
1.115.121.243,1.115.121.243,1.115.0.0,1,bbtec.net
103.8.24.64,103.8.24.65,103.8.0.0,2,glocal.com.my
111.89.135.204,111.89.135.204,111.89.0.0,1,ohtamacc.jp
104.200.64.177,104.200.64.181,104.200.0.0,5,citizentop.com
107.170.80.232,107.170.80.232,107.170.0.0,1,netadventist.org
100.14.159.1,100.14.159.1,100.14.0.0,1,verizon-gni.net
107.22.194.236,107.22.194.236,107.22.0.0,1,securednsserver.net
109.224.207.193,109.224.207.195,109.224.0.0,3,109.in-addr.arpa
113.11.28.114,113.11.28.114,113.11.0.0,1,113-11-28-114-smile.com.bd
104.237.9.74,104.237.9.74,104.237.0.0,1,arlisc.org
109.134.87.197,109.134.87.202,109.134.0.0,6,belgacom.be
113.11.108.131,113.11.108.131,113.11.0.0,1,113-11-108-131-smile.com.bd
109.132.19.17,109.132.19.24,109.132.0.0,8,belgacom.be
103.204.64.90,103.204.64.90,103.204.0.0,1,bis-hop.jp
110.142.251.237,110.142.251.238,110.142.0.0,2,telstra.net
103.136.42.102,103.136.42.102,103.136.0.0,1,hosted-by-worldstream.net
107.32.51.213,107.32.51.250,107.32.0.0,38,spcsdns.net
110.145.161.133,110.145.161.134,110.145.0.0,2,telstra.net
1.34.140.251,1.34.140.251,1.34.0.0,1,tacotsai.idv.tw
109.125.64.207,109.125.65.4,109.125.0.0,54,pyur.net
109.131.42.151,109.131.42.164,109.131.0.0,14,belgacom.be
104.168.111.164,104.168.111.164,104.168.0.0,1,modernlai.store
101.0.108.58,101.0.108.62,101.0.0.0,5,hostserver.com.au
109.167.215.162,109.167.215.162,109.167.0.0,1,mpnw.ru
109.195.149.241,109.195.149.250,109.195.0.0,10,ertelecom.ru
108.61.86.74,108.61.86.81,108.61.0.0,8,vultr.com
109.90.7.163,109.90.8.68,109.90.0.0,162,vodafone-ip.de
107.189.168.162,107.189.168.164,107.189.0.0,3,clipayer.icu
110.143.79.44,110.143.79.46,110.143.0.0,3,telstra.net
110.145.80.41,110.145.80.41,110.145.0.0,1,telstra.net
104.248.247.231,104.248.247.231,104.248.0.0,1,cloudwaysapps.com
108.80.217.154,108.80.217.154,108.80.0.0,1,robinsonelectric.com
109.192.19.76,109.192.19.76,109.192.0.0,1,kanzlei-lungstras.de
113.11.123.215,113.11.123.215,113.11.0.0,1,113-11-123-215-smile.com.bd
107.1.116.42,107.1.116.44,107.1.0.0,3,comcastbusiness.net
106.172.220.1,106.172.220.254,106.172.0.0,254,dion.ne.jp
104.234.238.129,104.234.238.255,104.234.0.0,127,securepppoe.ca
1.114.239.53,1.114.239.54,1.114.0.0,2,bbtec.net
